# Supplementary Table 2 of Oguri et al. PASJ (arXiv:1701.00818)
# CAMIRA HSC S16A Wide cluster catalog (with bright star mask)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
  152 HSCJ021332-024145  33.382993  -2.695890 0.5880  17.915 -1.0
  153 HSCJ021336-044523  33.401452  -4.756517 0.9500  15.665 -1.0
  154 HSCJ021345-023310  33.436631  -2.552766 0.8656  18.349 -1.0
  155 HSCJ021345-052040  33.439079  -5.344380 0.7620  18.885 -1.0
  156 HSCJ021349-024000  33.454513  -2.666763 0.8400  17.323 -1.0
  157 HSCJ021349-034806  33.454576  -3.801713 0.7354  27.355 0.74490
  158 HSCJ021349-023548  33.455325  -2.596678 0.7040  21.801 0.70462
  159 HSCJ021351-024831  33.463552  -2.808581 0.2924  18.521 -1.0
  160 HSCJ021354-023400  33.474487  -2.566784 0.5700  15.442 0.57135
  161 HSCJ021355-022516  33.477431  -2.421050 0.5785  23.946 -1.0
  162 HSCJ021358-031547  33.492019  -3.263153 0.4371  21.550 -1.0
  163 HSCJ021407-022841  33.529207  -2.478047 0.8620  21.898 -1.0
  164 HSCJ021407-025553  33.530504  -2.931334 1.0175  28.860 -1.0
  165 HSCJ021409-053459  33.537037  -5.582921 0.4287  31.374 -1.0
  166 HSCJ021412-044858  33.551191  -4.816067 0.9389  15.905 -1.0
  167 HSCJ021417-021608  33.569402  -2.268810 0.5580  16.441 -1.0
  168 HSCJ021422-022148  33.593397  -2.363421 0.8720  21.824 -1.0
  169 HSCJ021430-022118  33.625882  -2.355052 0.7240  26.428 0.71132
  170 HSCJ021431-062718  33.630677  -6.455056 0.2457  24.332 -1.0
  171 HSCJ021433-032632  33.636878  -3.442355 0.5474  17.406 0.54341
  172 HSCJ021438-043139  33.658722  -4.527522 0.1505  39.023 -1.0
  173 HSCJ021439-061617  33.664146  -6.271479 0.2440  19.027 -1.0
  174 HSCJ021442-020649  33.677008  -2.113712 0.5893  22.313 -1.0
  175 HSCJ021443-040500  33.678121  -4.083435 0.4326  17.700 0.44706
  176 HSCJ021444-034921  33.682115  -3.822604 0.7220  27.445 0.74733
  177 HSCJ021459-045157  33.746943  -4.865961 0.8801  15.282 -1.0
  178 HSCJ021459-022810  33.747191  -2.469476 0.6940  23.394 0.71233
  179 HSCJ021460-035345  33.748440  -3.895799 0.1465  27.576 -1.0
  180 HSCJ021511-050339  33.797062  -5.060854 0.7300  17.722 0.75524
  181 HSCJ021513-060432  33.805451  -6.075516 0.7459  25.243 -1.0
  182 HSCJ021518-055718  33.825541  -5.955001 0.2560  33.350 -1.0
  183 HSCJ021520-032212  33.834918  -3.369875 0.7554  24.247 -1.0
  184 HSCJ021521-034343  33.835828  -3.728695 1.0076  43.151 -1.0
  185 HSCJ021522-035928  33.840173  -3.991081 1.0240  17.266 1.02891
  186 HSCJ021528-044041  33.867649  -4.678114 0.3560  49.148 -1.0
  187 HSCJ021528-053332  33.868534  -5.558838 0.2687  26.194 -1.0
  188 HSCJ021529-040243  33.869100  -4.045338 0.3539  26.356 0.37186
  189 HSCJ021531-031615  33.879054  -3.270814 0.6960  21.374 -1.0
  190 HSCJ021543-042607  33.929920  -4.435185 1.0100  20.626 -1.0
  191 HSCJ021548-045015  33.948187  -4.837582 0.9546  21.843 -1.0
  192 HSCJ021607-032615  34.028797  -3.437450 0.2965  16.072 0.31310
  193 HSCJ021615-033904  34.062887  -3.651156 1.0112  15.367 -1.0
  194 HSCJ021627-041438  34.110763  -4.243820 0.1550  22.583 0.15378
  195 HSCJ021636-042843  34.149199  -4.478619 0.4395  29.908 0.44125
  196 HSCJ021652-022908  34.217936  -2.485630 0.3520  19.920 0.36551
  197 HSCJ021655-020704  34.230018  -2.117866 0.1443  37.805 -1.0
  198 HSCJ021728-022344  34.366816  -2.395584 0.6168  16.002 0.60217
  199 HSCJ021735-051330  34.397024  -5.225106 0.6540  32.502 0.64784
  200 HSCJ021754-052706  34.475713  -5.451576 0.7040  20.189 -1.0
  201 HSCJ021800-062533  34.500594  -6.425809 0.8440  15.717 -1.0
  202 HSCJ021811-051531  34.545953  -5.258651 0.6480  17.339 0.62438
  203 HSCJ021811-054446  34.545973  -5.746209 0.7019  18.552 -1.0
  204 HSCJ021824-052501  34.597982  -5.416813 0.6512  19.058 0.64686
  205 HSCJ021825-040031  34.605592  -4.008592 0.2893  15.549 0.30167
  206 HSCJ021827-053924  34.612211  -5.656633 0.6800  18.749 -1.0
  207 HSCJ021830-060447  34.627041  -6.079640 0.8076  15.506 -1.0
  208 HSCJ021832-050059  34.633520  -5.016462 0.8700  29.826 0.88476
  209 HSCJ021837-053932  34.655239  -5.658785 0.2580  17.555 -1.0
  210 HSCJ021840-060523  34.666493  -6.089660 1.0015  17.659 -1.0
  211 HSCJ021911-040158  34.794232  -4.032718 0.4356  19.817 0.42348
  212 HSCJ021912-034438  34.799583  -3.743871 0.7705  19.025 0.76722
  213 HSCJ021922-063646  34.842353  -6.612672 0.8226  21.272 -1.0
  214 HSCJ021924-034356  34.849543  -3.732235 0.9820  17.903 -1.0
  215 HSCJ021929-040508  34.872745  -4.085462 1.0822  28.366 1.04208
  216 HSCJ021931-040417  34.877474  -4.071507 0.6120  16.271 0.59879
  217 HSCJ021941-045231  34.922913  -4.875188 0.3160  22.326 0.33283
  218 HSCJ021952-041510  34.965333  -4.252868 0.8204  15.158 0.81140
  219 HSCJ021959-052723  34.994083  -5.456353 0.2680  15.642 -1.0
  220 HSCJ022015-045353  35.060624  -4.897969 0.9100  22.641 0.90902
  221 HSCJ022025-054710  35.102191  -5.786080 0.7976  19.330 -1.0
  222 HSCJ022035-034741  35.146418  -3.794808 1.0204  20.889 -1.0
  223 HSCJ022042-022200  35.176705  -2.366798 0.5540  20.456 0.54605
  224 HSCJ022052-033901  35.216800  -3.650342 1.0514  16.186 -1.0
  225 HSCJ022055-033252  35.228972  -3.547824 1.0061  31.471 -1.0
  226 HSCJ022107-033127  35.278624  -3.524057 0.5673  28.313 0.55161
  227 HSCJ022109-035522  35.286735  -3.922718 0.8700  15.635 -1.0
