# CAMIRA HSC S20A Wide cluster catalog without star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
  139 HSCJ002126-001354   5.356608  -0.231561 0.1606  25.383 -1.0
  140 HSCJ002149+011945   5.454681   1.329177 0.7973  26.584 -1.0
  141 HSCJ002207+002956   5.527632   0.498915 0.3300  18.609 0.33455
  142 HSCJ002229+012308   5.621182   1.385669 0.6476  23.777 0.61881
  143 HSCJ002230+012846   5.626652   1.479363 0.3425  24.557 -1.0
  144 HSCJ002302-000620   5.759530  -0.105602 0.1580  47.614 0.15833
  145 HSCJ002310+012302   5.790738   1.383840 0.9320  21.149 -1.0
  146 HSCJ002315+001158   5.811534   0.199450 0.2414  24.911 -1.0
  147 HSCJ002323+013645   5.844889   1.612635 0.7529  15.806 -1.0
  148 HSCJ002348+013629   5.949247   1.608151 1.0801  18.001 -1.0
  149 HSCJ002350-000606   5.958073  -0.101531 0.3840  27.092 0.36630
  150 HSCJ002542+011843   6.426325   1.311944 0.5480  15.705 -1.0
  151 HSCJ002549+012652   6.452157   1.447797 0.7020  19.461 -1.0
  152 HSCJ002549+014600   6.453205   1.766750 0.8848  26.798 -1.0
  153 HSCJ002550+013435   6.457985   1.576289 0.2975  17.355 -1.0
  154 HSCJ002616+012036   6.566584   1.343325 0.6280  46.541 -1.0
  155 HSCJ002646+013610   6.693317   1.602762 0.1740  17.247 -1.0
  156 HSCJ002709+015556   6.787159   1.932233 0.8460  17.821 -1.0
  157 HSCJ002756+011709   6.984915   1.285883 0.3360  27.108 -1.0
  158 HSCJ002828+022356   7.117166   2.398902 0.3640  20.040 0.37386
  159 HSCJ002849+015436   7.202159   1.909888 0.7269  30.498 0.71734
  160 HSCJ002857+001655   7.239515   0.281850 0.2225  15.824 -1.0
  161 HSCJ002901+015457   7.255421   1.915848 0.3623  17.444 0.37556
  162 HSCJ002909+002530   7.287549   0.424936 0.6300  16.555 0.65044
  163 HSCJ002941+010829   7.422275   1.141394 0.7201  22.065 -1.0
  164 HSCJ003011+013440   7.545932   1.577862 0.3379  27.182 -1.0
  165 HSCJ003019+011500   7.577099   1.249997 0.6080  18.072 0.62079
  166 HSCJ003052+010155   7.716436   1.031941 0.6160  42.216 0.61938
  167 HSCJ003100+011636   7.750629   1.276565 0.3660  18.336 -1.0
  168 HSCJ003111+020158   7.796419   2.032882 0.8541  15.015 0.86299
  169 HSCJ003119+013146   7.827918   1.529360 0.1000  18.424 -1.0
  170 HSCJ003129+021512   7.869845   2.253258 0.4996  20.383 -1.0
  171 HSCJ003133+013000   7.886225   1.500109 0.3580  16.768 0.38883
  172 HSCJ003134+004214   7.893529   0.704020 1.1618  17.346 -1.0
  173 HSCJ003140+020205   7.917284   2.034702 0.4380  18.684 0.43367
  174 HSCJ003150+020911   7.956879   2.152931 0.6501  16.792 -1.0
  175 HSCJ003154+014345   7.976211   1.729132 0.9099  31.507 -1.0
  176 HSCJ003311+021201   8.294096   2.200330 0.6467  16.449 -1.0
  177 HSCJ003328+001001   8.366225   0.167075 1.0700  16.297 -1.0
  178 HSCJ003357+002707   8.486906   0.451954 0.7788  15.435 -1.0
  179 HSCJ003359+002802   8.497045   0.467310 0.6459  18.132 -1.0
  180 HSCJ003401+021409   8.503756   2.235884 0.6728  22.273 -1.0
  181 HSCJ003423+005126   8.596845   0.857242 0.1957  56.506 0.19186
  182 HSCJ003435+011141   8.646137   1.194695 0.6120  16.331 -1.0
  183 HSCJ003444+005205   8.681572   0.868066 1.0384  16.977 -1.0
  184 HSCJ003457+002053   8.738931   0.347980 0.7315  19.211 -1.0
  185 HSCJ003511+005640   8.797396   0.944514 0.9232  17.316 -1.0
  186 HSCJ003512+004348   8.799370   0.730050 0.2614  17.315 0.26199
  187 HSCJ003532+013228   8.882120   1.541135 0.1000  16.137 -1.0
  188 HSCJ003554+002122   8.974188   0.356159 0.2499  25.827 0.25442
  189 HSCJ003559+013407   8.994849   1.568668 0.3440  15.612 -1.0
  190 HSCJ003601+010554   9.002528   1.098217 0.9619  16.936 -1.0
  191 HSCJ003605+000930   9.022352   0.158263 0.2522  26.145 0.25408
  192 HSCJ003614+010359   9.059474   1.066455 0.7851  17.286 0.78973
  193 HSCJ003623+003200   9.097827   0.533381 0.2348  17.632 0.25872
  194 HSCJ003827+001932   9.611841   0.325691 0.6540  31.999 0.63166
  195 HSCJ010313-001726  15.803327  -0.290584 0.3520  23.427 0.36737
  196 HSCJ010420+014850  16.085186   1.813826 0.3496  17.111 0.33398
  197 HSCJ010425-002451  16.103403  -0.414185 0.2640  18.502 0.26573
  198 HSCJ010455+000336  16.230696   0.060094 0.2588  91.203 0.27212
  199 HSCJ010510+014113  16.290351   1.686890 0.3040  22.871 0.32348
  200 HSCJ010510-000935  16.293229  -0.159808 0.2540  16.170 0.26237
  201 HSCJ010516+012621  16.316980   1.439181 0.2540  15.304 0.26533
  202 HSCJ010520+014457  16.331868   1.749029 0.3620  16.270 0.36128
