# CAMIRA HSC S20A Wide cluster catalog with star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
  144 HSCJ002646+013443   6.693016   1.578587 0.1720  17.097 -1.0
  145 HSCJ002712+015542   6.798189   1.928335 0.8460  17.681 -1.0
  146 HSCJ002756+011709   6.984915   1.285883 0.3360  25.319 -1.0
  147 HSCJ002828+022356   7.117166   2.398902 0.3622  19.531 0.37386
  148 HSCJ002849+015436   7.202159   1.909888 0.7269  30.642 0.71734
  149 HSCJ002901+015457   7.255421   1.915848 0.3623  17.424 0.37556
  150 HSCJ002909+002530   7.287549   0.424936 0.6300  16.563 0.65044
  151 HSCJ002941+010829   7.422275   1.141394 0.7201  22.071 -1.0
  152 HSCJ003011+013440   7.545932   1.577862 0.3379  27.294 -1.0
  153 HSCJ003019+011500   7.577099   1.249997 0.6300  17.705 0.62079
  154 HSCJ003052+010155   7.716436   1.031941 0.6160  43.542 0.61938
  155 HSCJ003100+011636   7.750629   1.276565 0.3660  18.468 -1.0
  156 HSCJ003129+021512   7.869845   2.253258 0.4969  18.637 -1.0
  157 HSCJ003134+013015   7.890854   1.504190 0.1020  17.815 -1.0
  158 HSCJ003134+004214   7.893529   0.704020 1.1618  17.383 -1.0
  159 HSCJ003140+020205   7.917284   2.034702 0.4380  18.603 0.43367
  160 HSCJ003141+013056   7.920484   1.515647 0.9661  15.154 -1.0
  161 HSCJ003154+014345   7.976211   1.729132 0.9098  31.740 -1.0
  162 HSCJ003311+021201   8.294096   2.200330 0.6496  15.535 -1.0
  163 HSCJ003328+001001   8.366225   0.167075 1.0700  16.272 -1.0
  164 HSCJ003357+002707   8.486906   0.451954 0.7790  17.735 -1.0
  165 HSCJ003401+021409   8.503756   2.235884 0.6715  22.772 -1.0
  166 HSCJ003423+005126   8.596845   0.857242 0.1956  54.905 0.19186
  167 HSCJ003435+011141   8.646137   1.194695 0.6120  16.555 -1.0
  168 HSCJ003442+005122   8.675575   0.855989 1.0340  16.749 -1.0
  169 HSCJ003457+002053   8.738931   0.347980 0.7315  19.211 -1.0
  170 HSCJ003511+005640   8.797396   0.944514 0.9232  17.841 -1.0
  171 HSCJ003512+004348   8.799370   0.730050 0.2614  17.437 0.26199
  172 HSCJ003532+013228   8.882120   1.541135 0.1000  15.367 -1.0
  173 HSCJ003554+002122   8.974188   0.356159 0.2480  24.879 0.25442
  174 HSCJ003601+010554   9.002528   1.098217 0.9620  17.005 -1.0
  175 HSCJ003605+000930   9.022352   0.158263 0.2522  26.365 0.25408
  176 HSCJ003614+010359   9.059474   1.066455 0.7851  17.293 0.78973
  177 HSCJ003623+003200   9.097827   0.533381 0.2349  17.852 0.25872
  178 HSCJ003827+001932   9.611841   0.325691 0.6540  31.656 0.63166
  179 HSCJ010313-001726  15.803327  -0.290584 0.3520  23.458 0.36737
  180 HSCJ010420+014850  16.085186   1.813826 0.3496  17.163 0.33398
  181 HSCJ010425-002451  16.103403  -0.414185 0.2640  18.607 0.26573
  182 HSCJ010455+000336  16.230696   0.060094 0.2588  91.456 0.27212
  183 HSCJ010510+014113  16.290351   1.686890 0.3040  22.896 0.32348
  184 HSCJ010510-000935  16.293229  -0.159808 0.2540  17.927 0.26237
  185 HSCJ010520+014457  16.331868   1.749029 0.3620  16.274 0.36128
  186 HSCJ010535+014734  16.397324   1.792666 0.9920  19.013 -1.0
  187 HSCJ010540+003103  16.417312   0.517590 0.8960  17.198 -1.0
  188 HSCJ010541+013006  16.418808   1.501627 0.7011  22.667 0.68618
  189 HSCJ010545-002042  16.438610  -0.344988 0.3029  24.607 -1.0
  190 HSCJ010601+002138  16.505767   0.360520 0.2535  15.741 0.25226
  191 HSCJ010602+020656  16.508570   2.115670 0.7677  18.913 -1.0
  192 HSCJ010607+004910  16.529265   0.819513 0.2518  56.948 0.25129
  193 HSCJ010611+003939  16.546222   0.660705 0.7200  17.061 -1.0
  194 HSCJ010624+013301  16.600925   1.550236 0.6660  25.708 0.68283
  195 HSCJ010631+000814  16.628421   0.137238 0.2570  30.511 0.27042
  196 HSCJ010645+013229  16.689508   1.541250 0.3322  15.814 0.36389
  197 HSCJ010651+010444  16.714067   1.078906 0.2495  36.655 0.25627
  198 HSCJ010653+001929  16.720050   0.324596 0.2700  16.257 0.26972
  199 HSCJ010705-001851  16.769121  -0.314220 0.2680  24.853 -1.0
  200 HSCJ010707-004206  16.780068  -0.701771 0.5183  17.985 0.51866
  201 HSCJ010709+011729  16.787627   1.291387 0.4120  20.810 0.42173
  202 HSCJ010718+014703  16.824488   1.784305 0.6237  32.118 0.62997
  203 HSCJ010728+011147  16.864706   1.196291 1.0814  16.101 -1.0
  204 HSCJ010731+000921  16.877869   0.155699 0.2560  19.459 0.29653
  205 HSCJ010735+020039  16.897144   2.010867 1.0999  16.964 -1.0
  206 HSCJ010752+011520  16.965780   1.255565 0.3576  18.952 0.37446
  207 HSCJ010752+021845  16.966814   2.312607 0.3448  17.039 0.34650
  208 HSCJ010754+002300  16.973945   0.383225 0.3080  32.732 -1.0
  209 HSCJ010754+003054  16.975862   0.515133 0.2932  19.262 0.27798
  210 HSCJ010759+000504  16.995556   0.084536 0.7157  15.981 -1.0
  211 HSCJ010823+005309  17.097840   0.885883 0.3520  15.092 0.38973
  212 HSCJ010825-000841  17.103626  -0.144752 0.2681  16.137 0.28629
  213 HSCJ010858-001405  17.240985  -0.234805 1.0262  19.998 -1.0
  214 HSCJ010915-001026  17.310781  -0.173857 1.0961  24.540 -1.0
  215 HSCJ010920+005100  17.333995   0.850103 0.9199  24.578 -1.0
  216 HSCJ010923+005429  17.346170   0.908181 0.2460  29.734 0.26427
  217 HSCJ010936-001819  17.401968  -0.305332 0.2860  19.388 -1.0
  218 HSCJ010947+005256  17.444774   0.882093 1.0001  15.557 -1.0
